#,Player,2021Salary
143,Tyus Jones ,"8,817,143"
144,James Wiseman ,"8,730,240"
145,Royce O'Neale ,"8,500,000"
146,Thomas Bryant ,"8,333,333"
147,Maxi Kleber ,"8,325,000"
148,RJ Barrett ,"8,231,760"
149,Jakob Poeltl ,"8,101,852"
150,De'Aaron Fox ,"8,099,627"
151,Luka Doncic ,"8,049,360"
152,Mason Plumlee ,"8,000,000"
152,Louis Williams ,"8,000,000"
154,PJ Tucker ,"7,969,537"
155,LaMelo Ball ,"7,839,960"
156,Seth Curry ,"7,834,449"
157,Derrick Rose ,"7,682,926"
158,Cristiano Felicio ,"7,529,020"
159,Rajon Rondo ,"7,500,000"
160,De'Andre Hunter ,"7,422,000"
161,Jonathan Isaac ,"7,362,565"
162,Doug McDermott ,"7,333,333"
163,Robin Lopez ,"7,300,000"
164,Jaren Jackson ,"7,257,360"
165,JaMychal Green ,"7,199,760"
166,Nemanja Bjelica ,"7,150,000"
167,Patrick Williams ,"7,068,360"
168,Ivica Zubac ,"7,000,000"
168,Aron Baynes ,"7,000,000"
168,Darius Miller ,"7,000,000"
171,Jabari Parker ,"6,930,729"
172,Lauri Markkanen ,"6,731,508"
173,Darius Garland ,"6,720,720"
174,DJ Augustin ,"6,666,667"
175,Trae Young ,"6,571,800"
176,Chris Boucher ,"6,500,000"
177,Juan Hernangomez ,"6,493,000"
178,Joakim Noah ,"6,431,666"
179,Isaac Okoro ,"6,400,920"
180,Frank Ntilikina ,"6,176,578"
181,DeMarre Carroll ,"6,119,676"
182,Jarrett Culver ,"6,104,280"
183,Alec Burks ,"6,000,000"
183,Ishmael Smith ,"6,000,000"
185,Mo Bamba ,"5,969,040"
186,Onyeka Okongwu ,"5,813,640"
187,Justin Holiday ,"5,720,400"
188,Dennis Smith ,"5,686,677"
189,Avery Bradley ,"5,635,000"
190,Timofey Mozgov ,"5,573,333"
191,Coby White ,"5,572,680"
192,Trey Lyles ,"5,500,000"
193,Wendell Carter ,"5,448,840"
194,Zach Collins ,"5,406,255"
195,Malik Monk ,"5,345,687"
196,Killian Hayes ,"5,307,120"
197,Luke Kennard ,"5,273,826"
198,Ryan Anderson ,"5,214,583"
199,Donovan Mitchell ,"5,195,501"
200,Rodney McGruder ,"5,192,307"
201,Bam Adebayo ,"5,115,492"
202,Justin Jackson ,"5,109,637"
203,Jaxson Hayes ,"5,105,160"
204,Ed Davis ,"5,005,350"
204,Mike Scott ,"5,005,350"
204,Enes Kanter ,"5,005,350"
204,Richaun Holmes ,"5,005,350"
208,Luol Deng ,"5,000,000"
