Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
248,Damian Jones\jonesda03,C,25,TOT,22,6,9.4,1.1,1.5,0.727,0,0,0,1.1,1.5,0.75,0.727,0.8,1,0.739,0.7,1.3,2,0.2,0.1,0.5,0.5,1.9,3
248,Damian Jones\jonesda03,C,25,PHO,14,0,6.7,0.6,1.1,0.5,0,0.1,0,0.6,1.1,0.533,0.5,0.4,0.8,0.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
248,Damian Jones\jonesda03,C,25,LAL,8,6,14,2,2.1,0.941,0,0,,2,2.1,0.941,0.941,1.4,1.5,0.917,1,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4
249,Derrick Jones Jr.\jonesde02,SF,23,POR,46,40,25.2,2.8,5.9,0.483,0.9,2.7,0.325,2,3.2,0.615,0.557,1.1,1.7,0.658,1.6,2.6,4.1,0.8,0.7,1.1,0.6,2.3,7.7
250,Mason Jones\jonesma05,SG,22,TOT,27,1,11.7,1.9,4.3,0.427,0.9,2.4,0.359,1,2,0.509,0.526,1.3,2.1,0.614,0.2,1.7,2,1.5,0.2,0,1,0.8,5.9
250,Mason Jones\jonesma05,SG,22,HOU,26,1,11.8,1.8,4.4,0.412,0.9,2.5,0.359,0.9,1.9,0.48,0.513,1.3,2.2,0.614,0.2,1.8,2,1.5,0.2,0,1.1,0.8,5.8
250,Mason Jones\jonesma05,G,22,PHI,1,0,9,3,3,1,0,0,,3,3,1,1,0,0,,2,0,2,1,0,0,0,0,6
251,Tre Jones\jonestr01,PG,21,SAS,24,0,4.6,0.8,1.6,0.462,0,0,1,0.7,1.6,0.447,0.474,0.2,0.2,1,0.2,0.2,0.4,0.5,0.1,0,0.4,0.2,1.8
252,Tyus Jones\jonesty01,PG,24,MEM,49,8,19.5,2.8,6.6,0.432,0.7,2.2,0.312,2.1,4.3,0.493,0.484,0.6,0.7,0.906,0.4,1.9,2.3,4.1,1.1,0.1,0.8,0.4,7
253,DeAndre Jordan\jordade01,C,32,BRK,46,36,22.2,3.4,4.4,0.768,0,0,0,3.4,4.4,0.772,0.768,0.7,1.4,0.492,2,5.2,7.2,1.6,0.3,1.2,1.5,2.1,7.5
254,Cory Joseph\josepco01,PG,29,TOT,53,3,21.8,2.8,6.1,0.466,0.7,2,0.33,2.2,4.1,0.532,0.52,1.2,1.4,0.824,0.6,1.8,2.4,2.9,0.9,0.2,1.2,2.2,7.5
254,Cory Joseph\josepco01,PG,29,SAC,44,2,21.5,2.5,5.7,0.444,0.7,2.1,0.33,1.8,3.5,0.513,0.506,0.8,1.1,0.766,0.6,1.7,2.3,2.5,0.9,0.2,1,2.2,6.6
254,Cory Joseph\josepco01,PG,29,DET,9,1,23.4,4.3,8,0.542,0.4,1.3,0.333,3.9,6.7,0.583,0.569,2.8,3,0.926,0.6,2.6,3.1,5.1,1.2,0.4,2.2,1.9,11.9
255,Mfiondu Kabengele\kabenmf01,PF,23,LAC,23,0,4.1,0.4,1.4,0.281,0.2,0.8,0.222,0.2,0.6,0.357,0.344,0.2,0.3,0.833,0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2
256,Frank Kaminsky\kaminfr01,C,27,PHO,32,13,15.1,2.6,5.4,0.471,0.8,2,0.406,1.8,3.4,0.509,0.546,0.6,1,0.606,0.7,3,3.7,1.6,0.3,0.4,0.5,1.3,6.6
257,Enes Kanter\kanteen01,C,28,POR,51,33,26.5,5,8.3,0.604,0,0,0,5,8.3,0.605,0.604,1.9,2.4,0.787,4.2,7.4,11.6,1.3,0.5,0.7,1.2,2.6,11.9
258,Luke Kennard\kennalu01,SG,24,LAC,47,9,18.9,3,6.2,0.483,1.6,3.4,0.466,1.4,2.8,0.504,0.611,0.3,0.4,0.842,0.3,2.3,2.6,1.6,0.3,0.2,0.7,1.5,7.9
259,Maxi Kleber\klebima01,PF,29,DAL,37,31,28.3,2.4,5.6,0.437,1.8,4.2,0.433,0.6,1.3,0.449,0.602,0.9,0.9,0.914,0.9,4.6,5.5,1.4,0.5,0.7,0.6,2.3,7.6
260,Nathan Knight\knighna01,PF,23,ATL,22,0,7.7,1.1,2.7,0.424,0.2,0.8,0.278,0.9,1.9,0.488,0.466,1.3,1.6,0.806,0.7,1.2,1.9,0.2,0.3,0.3,0.5,0.7,3.8
261,Kevin Knox\knoxke01,SF,21,NYK,33,0,13.1,1.6,4,0.406,1,2.5,0.41,0.6,1.5,0.4,0.534,0.4,0.5,0.813,0.3,1.4,1.6,0.5,0.3,0.2,0.5,1.1,4.7
262,John Konchar\konchjo01,SG,24,MEM,26,0,14.3,1.3,3,0.449,0.5,1.2,0.387,0.9,1.8,0.489,0.526,0.7,0.8,0.818,0.9,2.2,3,1.2,0.8,0.2,0.5,1.2,3.8
263,Furkan Korkmaz\korkmfu01,SG,23,PHI,40,5,18.9,2.9,7.5,0.389,1.6,4.5,0.358,1.3,3,0.437,0.497,1.2,1.7,0.742,0.3,1.8,2,1.2,0.8,0.2,0.9,1.1,8.6
264,Luke Kornet\kornelu01,PF-C,25,TOT,19,0,9.4,1.1,2.8,0.389,0.6,2,0.316,0.5,0.8,0.563,0.5,0.1,0.3,0.4,0.3,1.6,1.9,0.5,0.1,0.7,0.2,0.4,2.9
264,Luke Kornet\kornelu01,PF,25,CHI,13,0,7.2,0.7,2.1,0.333,0.5,1.8,0.261,0.2,0.3,0.75,0.444,0.2,0.3,0.5,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1,2
264,Luke Kornet\kornelu01,C,25,BOS,6,0,14.2,2,4.5,0.444,1,2.5,0.4,1,2,0.5,0.556,0,0.2,0,0.8,2.7,3.5,1,0,1.2,0.3,1.2,5
265,Rodions Kurucs\kurucro01,SF-PF,22,TOT,16,0,5.7,0.4,1.5,0.25,0.2,1.1,0.176,0.2,0.4,0.429,0.313,0.1,0.1,0.5,0.1,0.8,0.9,0.4,0.4,0.3,0.6,0.5,1
265,Rodions Kurucs\kurucro01,PF,22,BRK,5,0,3.2,0.2,0.6,0.333,0.2,0.4,0.5,0,0.2,0,0.5,0,0,,0,0.6,0.6,0.4,0,0,0,0.2,0.6
265,Rodions Kurucs\kurucro01,SF,22,HOU,11,0,6.8,0.5,1.9,0.238,0.2,1.4,0.133,0.3,0.5,0.5,0.286,0.1,0.2,0.5,0.2,0.8,1,0.4,0.5,0.4,0.8,0.6,1.2
266,Kyle Kuzma\kuzmaky01,SF,25,LAL,50,20,28,4.9,11.2,0.434,2,5.6,0.351,2.9,5.6,0.518,0.522,0.8,1.3,0.636,1.8,4.9,6.8,1.7,0.4,0.6,1.8,1.7,12.6
267,Anthony Lamb\lamban01,SF,23,HOU,9,0,13.2,0.8,3.8,0.206,0.3,2.2,0.15,0.4,1.6,0.286,0.25,0.3,0.4,0.75,1.4,1.7,3.1,0.3,0.1,0.1,0.3,1.6,2.2
268,Jeremy Lamb\lambje01,SG,28,IND,30,8,21.5,3.4,7.8,0.438,1.5,3.6,0.413,1.9,4.1,0.46,0.534,2.2,2.3,0.956,0.7,2.8,3.6,1.6,1,0.6,0.7,2,10.5
269,Romeo Langford\langfro01,SG,21,BOS,3,1,17,1.3,4,0.333,1,2,0.5,0.3,2,0.167,0.458,0,0,,1.7,1,2.7,0.7,0.7,0.3,1,0.7,3.7
270,Zach LaVine\lavinza01,SG,25,CHI,49,49,35,9.7,19.1,0.507,3.3,8,0.415,6.3,11.1,0.574,0.594,4.4,5.2,0.85,0.6,4.4,5,4.9,0.9,0.4,3.7,2.3,27.1
271,Jake Layman\laymaja01,SF,26,MIN,38,11,15.2,2.2,4.3,0.497,0.5,1.8,0.279,1.7,2.6,0.649,0.555,0.6,0.9,0.727,0.3,1.3,1.7,0.7,0.7,0.4,0.6,1,5.4
272,Jalen Lecque\lecquja01,PG,20,IND,4,0,3,0.3,2.3,0.111,0,0.3,0,0.3,2,0.125,0.111,0.8,0.8,1,0.5,0.8,1.3,0.5,0,0,0,0,1.3
273,Damion Lee\leeda03,SG,28,GSW,50,1,18.9,2.2,4.8,0.454,1.3,3.5,0.387,0.8,1.3,0.631,0.595,0.7,0.8,0.9,0.4,2.8,3.1,1.3,0.6,0.1,0.5,1.6,6.4
274,Saben Lee\leesa01,PG,21,DET,30,7,15.7,2.1,4.3,0.481,0.2,0.5,0.5,1.8,3.8,0.478,0.508,1.5,2.2,0.667,0.4,1.5,1.9,3.2,0.6,0.3,1,1.6,5.8
275,Alex Len\lenal01,C,27,TOT,42,20,15.6,2.6,4.2,0.624,0.1,0.5,0.286,2.5,3.7,0.669,0.64,1,1.8,0.579,1,2.7,3.7,0.8,0.3,1.1,0.9,2.1,6.5
275,Alex Len\lenal01,C,27,TOR,7,2,10.9,0.7,1.4,0.5,0.4,0.9,0.5,0.3,0.6,0.5,0.65,0.4,0.9,0.5,0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
275,Alex Len\lenal01,C,27,WAS,35,18,16.5,3,4.8,0.631,0.1,0.4,0.2,2.9,4.4,0.673,0.64,1.2,2,0.586,1.2,3,4.2,0.9,0.3,1.2,0.8,2.2,7.3
276,Kawhi Leonard\leonaka01,SF,29,LAC,44,44,34.7,9.4,18.3,0.514,1.9,4.9,0.392,7.5,13.4,0.56,0.567,5.1,5.8,0.878,1.2,5.4,6.6,5,1.7,0.4,2,1.7,25.8
277,Meyers Leonard\leoname01,C,28,MIA,3,2,9.7,1,2.3,0.429,1,2.3,0.429,0,0,,0.643,0.3,0.7,0.5,0,2.3,2.3,0.7,0,0,0.7,1.7,3.3
278,Caris LeVert\leverca01,SG,26,TOT,26,18,30.6,6.7,15.8,0.422,1.7,5.3,0.324,5,10.5,0.473,0.477,2.2,2.9,0.773,0.7,3.7,4.3,5.2,1.4,0.3,2,1.8,17.3
278,Caris LeVert\leverca01,SG,26,BRK,12,4,27.8,7.3,16.7,0.435,1.8,5.3,0.349,5.4,11.4,0.474,0.49,2.2,2.8,0.765,0.8,3.5,4.3,6,1.1,0.5,2.2,1.7,18.5
278,Caris LeVert\leverca01,SG,26,IND,14,14,32.9,6.2,15.1,0.41,1.6,5.4,0.303,4.6,9.7,0.471,0.465,2.3,2.9,0.78,0.5,3.8,4.3,4.6,1.6,0.1,1.8,1.9,16.4
279,Kira Lewis Jr.\lewiski01,PG,19,NOP,33,0,15.7,2.6,6.2,0.422,0.8,2.2,0.366,1.8,4.1,0.452,0.485,0.6,0.8,0.75,0.2,1,1.2,2.3,0.7,0.2,0.5,1.5,6.7
280,Damian Lillard\lillada01,PG,30,POR,49,49,35.9,9,20.3,0.442,4.1,10.8,0.377,4.9,9.4,0.517,0.543,7.1,7.6,0.93,0.5,3.7,4.3,7.7,0.9,0.3,3.1,1.6,29.1
281,Nassir Little\littlna01,PF,20,POR,32,2,14.1,1.8,3.9,0.468,0.8,2.1,0.373,1.1,1.8,0.576,0.567,1,1.1,0.861,0.7,2.1,2.8,0.5,0.1,0.4,0.4,1.1,5.4
282,Kevon Looney\looneke01,C,24,GSW,40,15,15.4,1.6,2.7,0.578,0.1,0.3,0.364,1.5,2.5,0.602,0.596,0.5,0.7,0.741,1.6,2.4,4,1.9,0.4,0.4,0.6,2,3.8
283,Brook Lopez\lopezbr01,C,32,MIL,51,51,27.4,4.2,8.8,0.482,1.5,4.3,0.338,2.8,4.5,0.62,0.565,1.5,1.8,0.846,1.5,3.5,4.9,0.8,0.6,1.4,0.9,2.1,11.4
284,Robin Lopez\lopezro01,C,32,WAS,50,9,20.4,3.6,5.8,0.616,0.1,0.4,0.278,3.5,5.4,0.638,0.625,1.5,2.1,0.702,2.1,2,4.1,0.9,0.3,0.6,1.1,1.7,8.7
285,Kevin Love\loveke01,PF,32,CLE,8,8,18.9,3,7.6,0.393,1.6,4.6,0.351,1.4,3,0.458,0.5,1.5,1.9,0.8,0.6,5.1,5.8,2,0.6,0.1,1.6,1.3,9.1
286,Kyle Lowry\lowryky01,PG,34,TOR,39,39,34.6,5.6,12.9,0.436,2.7,6.9,0.394,2.9,6.1,0.483,0.541,3,3.4,0.881,0.8,4.6,5.4,7.3,1,0.3,2.8,3.2,17
287,Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,45,7,19.4,2.3,6.4,0.356,1.4,4.4,0.32,0.9,2,0.435,0.465,0.6,0.8,0.806,0.5,1.9,2.4,1.3,0.7,0.1,0.8,1.9,6.6
288,Trey Lyles\lylestr01,PF,25,SAS,23,9,15.6,1.9,3.9,0.478,0.6,1.7,0.35,1.3,2.2,0.58,0.556,0.7,1,0.652,0.4,3.3,3.7,0.6,0.3,0,0.3,0.6,5
289,Will Magnay\magnawi01,C,22,NOP,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1,0
290,Thon Maker\makerth01,C,23,CLE,8,0,9.5,1.3,2.3,0.556,0,0.3,0,1.3,2,0.625,0.556,1.3,1.4,0.909,1,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
291,Théo Maledon\maledth01,PG,19,OKC,46,30,27.3,3.4,9,0.379,1.7,4.7,0.358,1.7,4.3,0.403,0.473,1.3,1.6,0.787,0.4,3.1,3.5,3.3,0.9,0.1,2.1,2.2,9.8
292,Karim Mané\maneka01,PG,20,ORL,9,0,9.3,0.2,1.3,0.167,0.1,0.2,0.5,0.1,1.1,0.1,0.208,0.4,0.4,1,0.1,1.4,1.6,0.4,0,0.2,0.3,1,1
293,Terance Mann\mannte01,SG,24,LAC,50,4,17.6,2.3,4.8,0.49,0.4,1.2,0.379,1.9,3.6,0.525,0.536,1.1,1.4,0.779,0.9,2.8,3.7,1.4,0.4,0.2,0.6,1.8,6.2
294,Nico Mannion\mannini01,PG,19,GSW,19,1,14.5,1.6,4.7,0.348,0.9,2.5,0.375,0.7,2.2,0.317,0.449,1.1,1.3,0.8,0.1,1.5,1.6,2.7,0.7,0.1,1.2,1.3,5.3
295,Boban Marjanović\marjabo01,C,32,DAL,23,3,9.1,2.1,4.4,0.485,0,0.3,0,2.1,4.1,0.516,0.485,0.8,1,0.75,1.7,2.7,4.4,0.3,0,0.2,0.4,1,5
296,Lauri Markkanen\markkla01,PF,23,CHI,30,25,28.6,5.9,12.1,0.49,2.5,6.4,0.389,3.4,5.7,0.606,0.594,2,2.4,0.847,0.7,5,5.7,0.9,0.5,0.4,1.2,1.6,16.4
297,Naji Marshall\marshna01,SF,23,NOP,11,1,11.6,0.8,2.9,0.281,0.2,1,0.182,0.6,1.9,0.333,0.313,1.5,2.1,0.739,0.1,1.8,1.9,1.3,0.5,0.3,0.5,1.1,3.4
298,Caleb Martin\martica02,SF,25,CHO,36,1,13.5,1.8,4.5,0.389,0.6,2,0.296,1.2,2.5,0.462,0.454,0.6,1,0.595,0.6,1.9,2.4,1,0.8,0.2,0.6,1,4.7
299,Cody Martin\martico01,SF,25,CHO,38,2,14.3,1.5,3.4,0.45,0.3,1.1,0.275,1.2,2.3,0.528,0.492,0.5,0.8,0.6,0.8,1.7,2.5,1.4,0.6,0.2,0.6,0.9,3.8
300,Kelan Martin\martike03,SF,25,IND,18,0,5.4,0.7,1.9,0.382,0.3,0.9,0.313,0.4,1,0.444,0.456,0.2,0.2,1,0.2,0.9,1.1,0.2,0.3,0.1,0.3,0.4,1.9
301,Kenyon Martin Jr.\martike04,SF,20,HOU,24,0,19.1,2.7,5,0.542,0.4,1,0.36,2.3,4,0.589,0.579,1.1,1.6,0.711,1.8,2.8,4.5,0.8,0.5,1,0.8,1.8,6.9
302,Frank Mason III\masonfr01,PG,26,ORL,4,1,19.8,2.3,6,0.375,0.5,1.3,0.4,1.8,4.8,0.368,0.417,1.3,1.8,0.714,0.8,2.3,3,3,0,0,1.3,1.8,6.3
303,Garrison Mathews\mathega01,SG,24,WAS,44,22,18.6,1.9,4.3,0.436,1.5,3.5,0.418,0.4,0.8,0.514,0.606,1.4,1.6,0.887,0.3,1.2,1.5,0.5,0.6,0.1,0.2,1.8,6.6
304,Dakota Mathias\mathida01,SG,25,PHI,8,2,15.4,2.4,6,0.396,1,3.3,0.308,1.4,2.8,0.5,0.479,0.3,0.8,0.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6
305,Wesley Matthews\matthwe02,SG,34,LAL,44,6,20.1,1.5,4.4,0.352,1.2,3.5,0.342,0.4,0.9,0.39,0.487,0.5,0.6,0.857,0.3,1.3,1.7,1,0.6,0.3,0.5,1.5,4.8
306,Tyrese Maxey\maxeyty01,SG,20,PHI,43,6,14.6,3,6.7,0.451,0.4,1.5,0.288,2.6,5.2,0.5,0.484,0.7,0.8,0.857,0.2,1.4,1.6,1.6,0.3,0.2,0.6,1.1,7.2
307,Skylar Mays\mayssk01,SG,23,ATL,24,0,7.5,1.1,2.7,0.4,0.4,1.1,0.37,0.7,1.6,0.421,0.477,0.8,0.9,0.857,0.4,0.6,1,0.8,0.4,0,0.3,0.5,3.3
308,Patrick McCaw\mccawpa01,SF,25,TOR,5,0,6.6,0.2,0.2,1,0,0,,0.2,0.2,1,1,0.6,0.6,1,0.2,0.4,0.6,0.8,0.4,0,0,1.2,1
309,CJ McCollum\mccolcj01,SG,29,POR,26,26,33,8.5,19,0.448,4,9.8,0.406,4.5,9.2,0.494,0.554,2.5,3,0.846,0.5,3.2,3.7,4.7,1.1,0.5,1.3,1.8,23.6
310,T.J. McConnell\mccontj01,PG,28,IND,47,2,25.7,3.7,6.6,0.557,0.2,0.5,0.32,3.5,6,0.577,0.57,0.4,0.6,0.6,0.7,2.9,3.6,6.7,1.7,0.4,1.9,1.6,7.9
311,Jaden McDaniels\mcdanja02,PF,20,MIN,45,11,22.2,2.5,5.7,0.443,1.1,3,0.378,1.4,2.7,0.517,0.543,0.4,0.8,0.571,0.8,2.8,3.6,1.1,0.5,1,0.7,2.5,6.6
312,Jalen McDaniels\mcdanja01,SF,23,CHO,25,2,11.6,1.9,4,0.475,0.4,1.4,0.306,1.4,2.5,0.571,0.53,0.6,0.9,0.696,0.4,1.7,2.2,0.6,0.2,0.2,0.7,1.6,4.8
313,Doug McDermott\mcderdo01,PF,29,IND,48,19,24.9,5.1,9.9,0.518,1.7,4.5,0.384,3.4,5.4,0.628,0.605,1.2,1.4,0.841,1,2.6,3.6,1.4,0.3,0.1,0.8,1.7,13.2
314,Sean McDermott\mcderse01,SF,24,MEM,15,0,10.2,0.9,2.2,0.394,0.3,1.5,0.227,0.5,0.7,0.727,0.47,0.5,0.5,1,0.4,0.9,1.3,0.3,0.1,0.2,0.3,0.5,2.6
315,JaVale McGee\mcgeeja01,C,33,TOT,35,1,14.9,3.3,6.3,0.523,0.1,0.6,0.25,3.2,5.8,0.55,0.534,1.1,1.7,0.644,1.7,3.5,5.1,0.9,0.5,1.2,1.3,2.4,7.9
315,JaVale McGee\mcgeeja01,C,33,CLE,33,1,15.2,3.4,6.5,0.521,0.2,0.6,0.25,3.2,5.9,0.549,0.533,1.1,1.7,0.655,1.6,3.5,5.2,1,0.5,1.2,1.4,2.4,8
315,JaVale McGee\mcgeeja01,C,33,DEN,2,0,9.5,2,3.5,0.571,0,0,,2,3.5,0.571,0.571,1,2,0.5,2,3,5,0,0.5,0.5,1,2.5,5
316,Rodney McGruder\mcgruro01,SG,29,DET,16,2,12.1,2.3,4.4,0.529,0.7,1.5,0.458,1.6,2.9,0.565,0.607,0.4,0.5,0.75,0.5,0.9,1.4,1,0.5,0.1,0.4,0.8,5.7
317,Alfonzo McKinnie\mckinal01,SF,28,LAL,30,0,5.5,0.9,1.8,0.5,0.3,0.7,0.364,0.6,1.1,0.594,0.574,0.3,0.5,0.6,0.3,0.7,1,0.1,0.1,0,0.1,0.5,2.4
318,Jordan McLaughlin\mclaujo01,PG,24,MIN,32,2,20.7,2.1,5.6,0.374,0.6,1.8,0.339,1.5,3.8,0.392,0.43,0.4,0.5,0.75,0.4,1.8,2.2,4.5,1.1,0.2,1.1,1,5.2
319,Ben McLemore\mclembe01,SG,27,TOT,33,4,16.8,2.5,6.9,0.355,1.7,5.1,0.325,0.8,1.8,0.441,0.476,0.8,1.1,0.75,0.3,1.7,2.1,0.8,0.6,0.1,0.8,1.6,7.4
319,Ben McLemore\mclembe01,SG,27,HOU,32,4,16.8,2.5,7,0.357,1.7,5.2,0.331,0.8,1.8,0.431,0.48,0.7,1,0.719,0.3,1.7,2.1,0.9,0.6,0.1,0.9,1.6,7.4
319,Ben McLemore\mclembe01,G,27,LAL,1,0,17,1,4,0.25,0,3,0,1,1,1,0.25,4,4,1,0,2,2,0,0,0,0,1,6
320,Nicolò Melli\mellini01,PF,30,TOT,29,3,12.4,0.9,2.9,0.301,0.4,1.7,0.224,0.5,1.2,0.412,0.367,0.3,0.3,0.9,0.6,2.2,2.8,1.1,0.4,0.1,0.3,1.4,2.4
320,Nicolò Melli\mellini01,PF,30,NOP,22,0,11,0.7,2.7,0.254,0.3,1.7,0.189,0.4,1,0.364,0.314,0.3,0.3,0.857,0.5,2,2.6,1.1,0.4,0,0.3,1.3,2
320,Nicolò Melli\mellini01,PF,30,DAL,7,3,17.1,1.4,3.4,0.417,0.6,1.7,0.333,0.9,1.7,0.5,0.5,0.4,0.4,1,0.7,2.6,3.3,0.9,0.3,0.1,0.1,1.7,3.9
321,De'Anthony Melton\meltode01,PG,22,MEM,35,1,19.9,3.7,7.8,0.48,1.8,4,0.453,1.9,3.8,0.507,0.595,0.8,1,0.771,0.7,2.5,3.2,2.7,1.2,0.5,1.2,1.7,10.1
322,Sam Merrill\merrisa01,SG,24,MIL,21,1,7.1,1,2,0.465,0.6,1.3,0.464,0.3,0.7,0.467,0.616,0.1,0.1,1,0.3,0.7,1,0.8,0.2,0,0.4,0.4,2.6
323,Chimezie Metu\metuch01,C,23,SAC,19,0,9.1,1.9,3.3,0.597,0.2,0.4,0.429,1.8,2.9,0.618,0.621,0.4,0.5,0.7,0.8,1.7,2.6,0.8,0.2,0.5,0.6,1.3,4.4
324,Khris Middleton\middlkh01,SF,29,MIL,50,50,33.6,7.5,15.7,0.48,2.2,5,0.434,5.3,10.7,0.501,0.549,3,3.4,0.889,0.8,5.2,6,5.4,1.1,0.2,2.8,2.4,20.3
325,Darius Miller\milleda01,SF,30,OKC,18,0,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.3,0.3,0.833,0.635,0.7,0.7,1,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1
326,Patty Mills\millspa02,PG,32,SAS,48,0,26,4.3,10,0.431,2.7,6.9,0.389,1.6,3.1,0.523,0.565,1.2,1.3,0.905,0.3,1.4,1.7,2.5,0.6,0,0.9,1.3,12.4
327,Paul Millsap\millspa01,PF,35,DEN,40,34,22.5,3.5,7,0.504,1.1,2.7,0.389,2.5,4.3,0.576,0.579,1.3,1.9,0.703,1.5,3.4,4.8,1.7,0.9,0.7,0.9,2.1,9.4
328,Shake Milton\miltosh01,SG,24,PHI,43,2,24.2,5.1,11.2,0.454,1,3.2,0.326,4,8,0.506,0.501,2.7,3.1,0.866,0.6,1.7,2.3,3,0.7,0.3,1.7,2.2,13.9
329,Donovan Mitchell\mitchdo01,SG,24,UTA,49,49,33.6,8.9,20.3,0.439,3.3,8.6,0.389,5.6,11.7,0.477,0.522,4.8,5.6,0.844,1,3.6,4.5,5.3,1,0.3,2.8,2.2,26
330,Adam Mokoka\mokokad01,SG,22,CHI,9,0,5.2,0.7,1.7,0.4,0.1,0.9,0.125,0.6,0.8,0.714,0.433,0,0,,0.1,0.3,0.4,0.4,0.2,0.1,0.2,0.6,1.4
331,Malik Monk\monkma01,SG,22,CHO,32,0,21.7,4.6,10.1,0.46,2.2,5.2,0.424,2.4,4.9,0.497,0.568,1.7,2,0.815,0.4,2.3,2.7,1.9,0.5,0.1,1.5,1.2,13.1
332,E'Twaun Moore\mooreet01,SG,31,PHO,24,1,14.5,1.8,4.3,0.422,0.3,1.2,0.276,1.5,3,0.479,0.461,0.3,0.4,0.8,0.5,1.2,1.8,1.5,0.6,0.2,0.8,1.3,4.3
333,Ja Morant\moranja01,PG,21,MEM,41,41,31.5,6.7,15.1,0.445,0.9,3.5,0.255,5.8,11.6,0.503,0.475,4.4,5.9,0.751,0.9,2.6,3.5,7.4,0.9,0.2,3,1.5,18.8
334,Juwan Morgan\morgaju01,PF,23,UTA,19,0,4.4,0.4,0.9,0.412,0.2,0.6,0.273,0.2,0.3,0.667,0.5,0.1,0.3,0.2,0.3,0.5,0.8,0.2,0.2,0,0.1,0.7,0.9
335,Marcus Morris\morrima03,PF,31,LAC,41,13,25.5,4.5,9.9,0.45,2.4,5.2,0.463,2,4.7,0.435,0.571,1.1,1.3,0.855,0.6,3.3,4,1,0.5,0.2,0.9,2,12.5
336,Markieff Morris\morrima02,PF,31,LAL,46,22,19.8,2.6,6.1,0.429,1.2,3.5,0.344,1.4,2.6,0.542,0.527,0.7,0.9,0.732,0.8,3.8,4.6,1,0.3,0.3,0.8,1.8,7.1
337,Monte Morris\morrimo01,PG,25,DEN,39,11,26.7,4,8.4,0.474,1.1,3.1,0.35,2.9,5.4,0.545,0.538,1.3,1.6,0.766,0.2,1.9,2.2,3.4,0.7,0.3,0.7,1,10.3
338,Mychal Mulder\muldemy01,PG,26,GSW,41,2,10,1.2,3,0.407,1,2.6,0.383,0.2,0.4,0.563,0.573,0.2,0.4,0.588,0,0.8,0.9,0.4,0.2,0.2,0.2,0.7,3.7
339,Dejounte Murray\murrade01,PG,24,SAS,47,47,31.7,6.6,14.4,0.457,0.9,2.9,0.314,5.7,11.5,0.494,0.489,1.6,2,0.811,0.7,6.2,6.9,5.2,1.5,0.1,1.7,2.1,15.7
340,Jamal Murray\murraja01,PG,23,DEN,47,47,35.6,7.9,16.5,0.48,2.7,6.6,0.412,5.2,9.9,0.526,0.562,2.7,3.1,0.864,0.8,3.3,4,4.8,1.3,0.3,2.2,2,21.3
341,Mike Muscala\muscami01,C,29,OKC,35,0,18.4,3.4,7.6,0.446,1.9,5.3,0.37,1.5,2.4,0.614,0.573,0.9,1,0.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7
342,Sviatoslav Mykhailiuk\mykhasv01,SF-SG,23,TOT,48,12,19.2,2.7,6.8,0.402,1.6,4.8,0.342,1.1,2,0.541,0.521,0.7,0.9,0.805,0.4,2,2.4,1.6,0.8,0.2,1.3,0.8,7.8
342,Sviatoslav Mykhailiuk\mykhasv01,SF,23,DET,36,5,17.6,2.3,6.2,0.377,1.6,4.8,0.333,0.8,1.4,0.519,0.504,0.7,0.8,0.8,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,6.9
342,Sviatoslav Mykhailiuk\mykhasv01,SG,23,OKC,12,7,23.9,3.9,8.6,0.456,1.8,4.8,0.368,2.2,3.8,0.565,0.558,0.8,0.9,0.818,0.5,2.8,3.3,1.7,1.1,0.2,1.8,0.6,10.3
343,Abdel Nader\naderab01,SF,27,PHO,24,0,14.8,2.4,4.8,0.491,0.8,1.8,0.419,1.6,3,0.534,0.569,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7
344,Larry Nance Jr.\nancela02,PF,28,CLE,29,27,32.8,4,8.1,0.487,1.2,3.3,0.379,2.7,4.9,0.56,0.564,0.9,1.4,0.634,1.7,5.3,7.1,3.1,1.8,0.6,1.5,2.1,10.1
345,Aaron Nesmith\nesmiaa01,SF,21,BOS,29,0,13.7,1.2,3.2,0.366,0.7,2.3,0.318,0.4,0.9,0.481,0.478,0.4,0.6,0.688,0.5,1.8,2.2,0.3,0.3,0.2,0.5,1.5,3.4
