Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
181,Blake Griffin\griffbl01,PF,31,TOT,27,21,28,3.9,9.6,0.4,1.7,5.2,0.333,2.1,4.4,0.479,0.49,2,2.8,0.707,0.4,4.6,5,3.4,0.7,0.2,1.4,2.1,11.4
181,Blake Griffin\griffbl01,PF,31,DET,20,20,31.3,4.1,11.1,0.365,2,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
181,Blake Griffin\griffbl01,PF,31,BRK,7,1,18.6,3.3,5.4,0.605,1.1,2.4,0.471,2.1,3,0.714,0.711,1.3,1.9,0.692,0.6,4,4.6,2.1,0.7,0.4,1,2.1,9
182,Kyle Guy\guyky01,PG,23,SAC,21,0,7,1,2.7,0.375,0.5,1.5,0.323,0.5,1.2,0.44,0.464,0.5,0.6,0.833,0.1,0.9,1,0.9,0.2,0,0.2,0.7,3
183,Rui Hachimura\hachiru01,PF,22,WAS,41,41,31.7,5.4,11.3,0.476,0.9,2.6,0.327,4.5,8.7,0.521,0.514,2.5,3.2,0.771,0.9,5,5.9,1.6,0.8,0.1,1.2,2.1,14.1
184,Ashton Hagans\haganas01,PG,21,MIN,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0.5,0,0
185,Tyrese Haliburton\halibty01,PG,20,SAC,46,14,30.3,5,10.5,0.48,2.1,5.1,0.413,2.9,5.4,0.544,0.581,0.8,0.9,0.857,0.8,2.5,3.2,5.1,1.3,0.6,1.5,1.4,13
186,Josh Hall\halljo01,SF,20,OKC,12,0,12.3,0.8,3.3,0.231,0.2,1.4,0.118,0.6,1.8,0.318,0.256,1.3,2.3,0.556,0.1,1.8,1.9,1.4,0,0,1.2,1.5,2.9
187,R.J. Hampton\hamptrj01,PG-SG,19,TOT,31,1,12,1.6,3.7,0.44,0.4,1.1,0.324,1.3,2.6,0.488,0.487,0.5,0.8,0.667,0.5,2.1,2.5,0.7,0.3,0.1,0.5,1,4.2
187,R.J. Hampton\hamptrj01,PG,19,DEN,25,0,9.3,1,2.4,0.417,0.2,0.7,0.278,0.8,1.7,0.476,0.458,0.4,0.5,0.75,0.4,1.6,2,0.6,0.2,0.1,0.4,0.9,2.6
