#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
37,Norman Powell,62,31.6,18.8,6.4,13.3,48.2,2.5,6.1,40.8,3.4,4,86.6,0.6,2.4,3,1.9,1.2,0.3,1.8,15.9
38,Anthony Edwards,65,31.7,18.5,6.7,16.7,40.3,2.3,7.1,31.7,2.8,3.6,77.4,0.8,3.8,4.6,2.8,1.2,0.4,2.2,14.5
39,Andrew Wiggins,64,33.1,18.1,6.8,14.5,47.2,2,5.1,38,2.5,3.5,70.9,1.1,3.7,4.8,2.4,1,1,1.8,16.7
40,Darius Garland,53,33.5,17.7,6.8,15.1,45.2,2,5,39.4,2.1,2.5,84.8,0.4,2,2.4,6.2,1.2,0.1,3.1,15.9
41,RJ Barrett,64,34.8,17.7,6.6,14.7,44.8,1.6,4.1,39.1,2.9,3.9,74.3,1,4.8,5.8,3,0.8,0.3,2,16.4
42,John Collins,56,29.9,17.7,6.9,12.5,55,1.3,3.3,38,2.6,3.1,83.5,2,5.6,7.6,1.3,0.6,1,1.3,20.7
43,Jordan Clarkson,60,26.2,17.4,6.3,15.2,41.5,3,8.6,34.4,1.8,1.9,92.2,0.7,3.2,4,2.3,0.9,0.2,1.7,13.9
44,Jrue Holiday,52,32.2,17.3,6.9,13.7,50.4,1.8,4.7,38.7,1.7,2.2,77.7,1.3,3.3,4.5,5.8,1.7,0.6,2.2,20.4
45,Kyle Lowry,46,34.8,17.2,5.7,13,43.6,2.8,7.2,39.6,3,3.5,87.5,0.8,4.6,5.4,7.3,1,0.3,2.7,20.7
46,Jonas Valanciunas,55,27.9,16.9,7,12.1,58,0.4,1,38.2,2.5,3.3,76.1,4.1,8.3,12.3,1.8,0.6,0.8,1.7,24.8
47,Dillon Brooks,59,29.4,16.8,6.3,15.1,42,1.9,5.5,34.5,2.3,2.8,84,0.8,2.1,2.9,2.3,1.2,0.4,1.9,12.5
48,Buddy Hield,63,34.3,16.7,5.7,14,40.7,4,10.1,39.3,1.3,1.5,84.4,0.4,4.2,4.6,3.3,0.9,0.4,1.7,15.5
49,Mike Conley,49,29.8,16.4,5.7,12.7,44.6,2.7,6.7,40.7,2.4,2.8,85.3,0.7,2.7,3.4,6,1.4,0.2,2,18
50,Chris Paul,63,31.5,16.2,6.2,12.5,49.4,1.4,3.8,38.4,2.4,2.6,93.3,0.4,4.2,4.5,8.8,1.4,0.2,2.3,22.4
